unique_id,cntry,idno,dweight,pspwght,pweight,anweight,agea,gndr,eisced,eduyrs,hinctnta,domicil,brncntr,rlgdgr,uemp12m,health,sclmeet,vote,prtvgde1,polintr,lrscale,trstprl,trstlgl,trstplt,trstprt,trstplc,trstep,stfdem,stfgov,ppltrst,pplfair,pplhlp,imbgeco,imueclt,imwbcnt,imdfetn,impcntr,gincdif,happy,stflife
DE_51172,DE,51172,0.9958686,0.57832,2.9929698,1.7308943,33,1,6,20,7,1,1,1,6,2,4,1,1,2,5,9,8,8,8,9,8,9,6,7,7,5,7,8,8,2,2,4,8,8
DE_51175,DE,51175,0.9958686,1.0740093,2.9929698,3.2144773,55,1,3,13,10,4,1,6,2,3,6,1,1,1,7,4,5,4,4,7,4,6,2,5,8,6,6,5,5,3,3,1,8,8
DE_51176,DE,51176,0.9958686,0.61751944,2.9929698,1.848217,56,1,5,18,9,3,1,3,6,2,5,1,5,2,5,3,7,3,3,7,3,7,3,5,7,6,7,6,7,2,3,4,9,9
DE_51177,DE,51177,0.99586856,0.17932247,2.9929698,0.53670675,50,2,6,13,10,4,1,8,6,1,5,1,2,1,3,8,9,7,7,10,6,9,7,8,7,6,8,9,9,2,2,2,10,10
DE_51188,DE,51188,0.9958686,1.0070395,2.9929698,3.0140388,29,2,3,12,4,3,1,3,6,3,7,1,77,3,5,3,4,1,1,7,1,1,2,5,2,8,77,2,2,7,3,1,10,9
DE_51196,DE,51196,0.9958687,0.6197299,2.9929698,1.8548328,25,1,2,12,4,4,2,10,1,3,2,3,66,4,88,7,10,7,9,10,9,9,8,0,8,6,10,10,10,1,1,3,7,88
DE_51204,DE,51204,0.9958686,0.61751944,2.9929698,1.848217,65,1,7,18,10,4,1,7,6,2,5,1,8,1,5,3,4,3,3,6,1,3,2,8,8,5,5,7,5,2,2,1,8,8
DE_51226,DE,51226,0.99586856,0.29818803,2.9929698,0.89246774,58,2,3,12,7,4,1,5,2,4,7,1,2,2,3,3,8,5,5,8,5,8,3,7,7,8,10,7,7,2,2,1,8,10
DE_51227,DE,51227,0.9958686,1.07508,2.9929698,3.2176821,20,2,5,15,10,3,1,5,6,1,5,1,5,2,5,6,8,4,6,10,6,10,5,5,7,4,88,7,7,1,1,3,10,9
DE_51247,DE,51247,0.99586856,3.680639,2.9929698,11.016042,15,1,2,12,88,1,1,3,2,2,4,3,66,1,5,5,7,5,6,10,9,9,8,5,7,9,8,6,9,3,1,2,6,7
