unique_id,cntry,idno,dweight,pspwght,pweight,anweight,agea,gndr,eisced,eduyrs,hinctnta,domicil,brncntr,rlgdgr,uemp12m,health,sclmeet,vote,polintr,lrscale,trstprl,trstlgl,trstplt,trstprt,trstplc,trstep,stfdem,stfgov,ppltrst,pplfair,pplhlp,imbgeco,imueclt,imwbcnt,imdfetn,impcntr,gincdif,happy,stflife
PL_85364,PL,85364,0.91409224,1.4137033,2.155714,3.0475402,61,1,7,19,9,1,1,5,6,2,2,1,1,8,3,0,2,2,8,0,5,7,5,4,2,7,4,4,3,3,2,9,8
PL_87433,PL,87433,0.9182431,1.0248208,2.155714,2.2092206,70,1,7,19,77,1,1,1,6,2,5,1,1,3,2,1,1,2,0,4,2,4,4,6,8,8,4,5,2,2,4,10,9
PL_52868,PL,52868,1.068033,1.2664707,2.155714,2.7301486,24,1,4,12,77,3,1,5,6,2,6,2,4,5,0,4,0,0,6,3,7,5,3,5,6,3,0,1,4,4,3,9,8
PL_80958,PL,80958,0.8014954,0.7424264,2.155714,1.600459,31,1,7,17,77,1,1,8,6,1,5,1,1,7,8,6,4,4,9,5,5,1,6,4,3,8,6,8,1,3,1,6,7
PL_96308,PL,96308,1.0589713,1.3017777,2.155714,2.8062606,73,2,3,12,3,4,1,10,6,3,5,1,4,8,2,2,0,0,4,0,3,3,7,5,7,5,7,5,2,2,4,6,7
PL_93582,PL,93582,1.036322,0.839637,2.155714,1.8100172,16,2,2,8,88,4,1,8,6,2,6,3,4,88,2,2,0,1,3,2,88,3,4,2,4,4,7,7,2,2,2,9,6
PL_62624,PL,62624,0.92318326,0.8353586,2.155714,1.8007944,16,1,2,11,8,1,1,6,6,3,6,3,4,5,5,7,0,0,4,5,5,6,3,4,5,0,9,5,3,1,4,4,6
PL_85499,PL,85499,0.91131896,0.85975605,2.155714,1.8533882,30,1,4,12,77,1,1,7,2,2,4,1,2,8,4,2,0,1,6,1,9,3,4,1,5,4,4,4,3,3,1,7,6
PL_86000,PL,86000,1.0531778,0.8025118,2.155714,1.729986,48,1,7,20,77,4,1,8,2,1,2,1,1,8,0,3,0,0,7,0,7,3,0,10,0,10,10,10,2,2,4,9,9
PL_86226,PL,86226,1.0611498,0.84804296,2.155714,1.8281381,42,2,2,11,4,4,1,9,6,2,2,1,2,8,2,2,2,2,2,2,7,7,1,1,1,7,4,3,3,3,2,5,5
PL_52881,PL,52881,0.91131896,1.0604262,2.155714,2.2859757,70,1,7,18,1,1,1,0,2,1,4,1,2,88,0,0,0,0,0,3,88,88,0,7,5,7,6,5,3,3,5,10,9
PL_76530,PL,76530,1.0644792,0.60151213,2.155714,1.2966882,44,2,7,18,4,4,1,7,6,1,2,1,2,5,2,2,1,4,5,5,0,0,6,5,6,6,6,5,2,2,3,7,7
PL_92933,PL,92933,1.0577334,1.280121,2.155714,2.759575,81,1,4,13,4,4,1,10,6,3,2,1,3,10,10,88,88,8,8,6,7,8,3,88,2,8,7,5,3,3,3,10,10
PL_71687,PL,71687,0.94154704,0.85119647,2.155714,1.8349363,67,2,4,13,77,3,1,7,6,2,2,1,4,4,8,7,3,3,6,7,7,7,3,3,3,6,5,6,3,3,2,2,2
PL_87996,PL,87996,1.0433729,0.98716444,2.155714,2.1280444,23,1,3,14,2,4,1,9,6,1,7,1,2,10,4,4,3,3,8,0,8,8,3,4,4,4,4,4,3,3,2,8,8
PL_87598,PL,87598,1.0577334,1.037877,2.155714,2.237366,20,1,2,9,88,4,1,6,6,2,6,2,3,5,3,3,3,3,5,4,5,5,4,6,7,5,5,5,2,2,2,6,5
